team,finishing_multiplier
south_korea,1.0228444476799068
ethiopia,1.015027862286118
peru,1.0140660314741088
germany,1.012103129915287
iceland,1.0079286537341323
indonesia,1.0075374501245098
netherlands,1.0050634671898122
brazil,1.005036644111893
morocco,1.0040446137779235
panama,1.0035574933134994
usa,1.0026770079060983
switzerland,1.0024372979819993
mongolia,1.0012449532574481
singapore,1.0002901408402205
oman,1.0001607788168578
india,1.0
vietnam,0.9997741828685583
thailand,0.9990483675725784
serbia,0.9990254001853849
uae,0.9985055396369115
kazakhstan,0.9971934640189272
philippines,0.9951772112955262
china,0.9942899935671067
pakistan,0.9933531533872482
rwanda,0.9933504258622728
saudi_arabia,0.992621936210468
guatemala,0.9921086932259452
new_zealand,0.9918791916547199
canada,0.9907774367079075
mexico,0.9903301924714762
france,0.9873959073435211
uk,0.9861284015224296
